class 名稱,分類,樣式（全部值）,使用範例
duration-700,動畫/過渡,--tw-duration:.7s; transition-duration:.7s,"class=""duration-700"""
ease-in-out,動畫/過渡,--tw-ease:var(--ease-in-out); transition-timing-function:var(--ease-in-out),"class=""ease-in-out"""
ease-out,動畫/過渡,--tw-ease:var(--ease-out); transition-timing-function:var(--ease-out),"class=""ease-out"""
paused,動畫/過渡,animation-play-state:paused,"class=""paused"""
running,動畫/過渡,animation-play-state:running,"class=""running"""
transition-all,動畫/過渡,"transition-property:all; transition-timing-function:var(--tw-ease,var(--default-transition-timing-function)); transition-duration:var(--tw-duration,var(--default-transition-duration))","class=""transition-all"""
object-contain,圖片,object-fit:contain,"class=""object-contain"""
object-cover,圖片,object-fit:cover,"class=""object-cover"""
-bottom-1,定位,bottom:calc(var(--spacing)*-1),"class=""-bottom-1"""
-bottom-3,定位,bottom:calc(var(--spacing)*-3),"class=""-bottom-3"""
-inset-1,定位,inset:calc(var(--spacing)*-1),"class=""-inset-1"""
-left-8,定位,left:calc(var(--spacing)*-8),"class=""-left-8"""
-mt-2,定位,margin-top:calc(var(--spacing)*-2),"class=""-mt-2"""
-right-3,定位,right:calc(var(--spacing)*-3),"class=""-right-3"""
-right-8,定位,right:calc(var(--spacing)*-8),"class=""-right-8"""
-top-1,定位,top:calc(var(--spacing)*-1),"class=""-top-1"""
-top-28,定位,top:calc(var(--spacing)*-28),"class=""-top-28"""
-top-3,定位,top:calc(var(--spacing)*-3),"class=""-top-3"""
-top-9,定位,top:calc(var(--spacing)*-9),"class=""-top-9"""
-top-full,定位,top:-100%,"class=""-top-full"""
-z-10,定位,z-index:calc(10*-1),"class=""-z-10"""
-z-50,定位,z-index:calc(50*-1),"class=""-z-50"""
