class 名稱,分類,樣式（全部值）,使用範例
pt-3,定位,padding-top:calc(var(--spacing)*3),"class=""pt-3"""
pt-4,定位,padding-top:calc(var(--spacing)*4),"class=""pt-4"""
pt-5,定位,padding-top:calc(var(--spacing)*5),"class=""pt-5"""
pt-6,定位,padding-top:calc(var(--spacing)*6),"class=""pt-6"""
pt-7,定位,padding-top:calc(var(--spacing)*7),"class=""pt-7"""
pt-8,定位,padding-top:calc(var(--spacing)*8),"class=""pt-8"""
relative,定位,position:relative,"class=""relative"""
right-0,定位,right:calc(var(--spacing)*0),"class=""right-0"""
right-1,定位,right:calc(var(--spacing)*1),"class=""right-1"""
right-16,定位,right:calc(var(--spacing)*16),"class=""right-16"""
right-2,定位,right:calc(var(--spacing)*2),"class=""right-2"""
right-3,定位,right:calc(var(--spacing)*3),"class=""right-3"""
right-4,定位,right:calc(var(--spacing)*4),"class=""right-4"""
right-5,定位,right:calc(var(--spacing)*5),"class=""right-5"""
right-6,定位,right:calc(var(--spacing)*6),"class=""right-6"""
ring,定位,"--tw-ring-shadow:var(--tw-ring-inset,)0 0 0 calc(1px + var(--tw-ring-offset-width))var(--tw-ring-color,currentcolor)","class=""ring"""
ring-0,定位,"--tw-ring-shadow:var(--tw-ring-inset,)0 0 0 calc(0px + var(--tw-ring-offset-width))var(--tw-ring-color,currentcolor)","class=""ring-0"""
ring-1,定位,"box-shadow:var(--tw-inset-shadow),var(--tw-inset-ring-shadow),var(--tw-ring-offset-shadow),var(--tw-ring-shadow),var(--tw-shadow) | --tw-ring-shadow:var(--tw-ring-inset,)0 0 0 calc(1px + var(--tw-ring-offset-width))var(--tw-ring-color,currentcolor)","class=""ring-1"""
ring-2,定位,"--tw-ring-shadow:var(--tw-ring-inset,)0 0 0 calc(2px + var(--tw-ring-offset-width))var(--tw-ring-color,currentcolor)","class=""ring-2"""
ring-4,定位,"box-shadow:var(--tw-inset-shadow),var(--tw-inset-ring-shadow),var(--tw-ring-offset-shadow),var(--tw-ring-shadow),var(--tw-shadow) | --tw-ring-shadow:var(--tw-ring-inset,)0 0 0 calc(4px + var(--tw-ring-offset-width))var(--tw-ring-color,currentcolor)","class=""ring-4"""
ring-offset-2,定位,"--tw-ring-offset-width:2px; --tw-ring-offset-shadow:var(--tw-ring-inset,)0 0 0 var(--tw-ring-offset-width)var(--tw-ring-offset-color)","class=""ring-offset-2"""
rounded-b-lg,定位,border-bottom-right-radius:var(--radius-lg); border-bottom-left-radius:var(--radius-lg),"class=""rounded-b-lg"""
rounded-l-full,定位,border-top-left-radius:3.40282e+38px; border-bottom-left-radius:3.40282e+38px,"class=""rounded-l-full"""
rounded-l-lg,定位,border-top-left-radius:var(--radius-lg); border-bottom-left-radius:var(--radius-lg),"class=""rounded-l-lg"""
rounded-l-md,定位,border-top-left-radius:var(--radius-md); border-bottom-left-radius:var(--radius-md),"class=""rounded-l-md"""
rounded-l-none,定位,border-top-left-radius:0; border-bottom-left-radius:0,"class=""rounded-l-none"""
rounded-r-full,定位,border-top-right-radius:3.40282e+38px; border-bottom-right-radius:3.40282e+38px,"class=""rounded-r-full"""
rounded-r-md,定位,border-top-right-radius:var(--radius-md); border-bottom-right-radius:var(--radius-md),"class=""rounded-r-md"""
rounded-r-none,定位,border-bottom-right-radius:0,"class=""rounded-r-none"""
rounded-t-2xl,定位,border-top-left-radius:var(--radius-2xl); border-top-right-radius:var(--radius-2xl),"class=""rounded-t-2xl"""
rounded-t-3xl,定位,border-top-left-radius:var(--radius-3xl); border-top-right-radius:var(--radius-3xl),"class=""rounded-t-3xl"""
rounded-t-lg,定位,border-top-left-radius:var(--radius-lg); border-top-right-radius:var(--radius-lg),"class=""rounded-t-lg"""
rounded-t-xl,定位,border-top-left-radius:var(--radius-xl); border-top-right-radius:var(--radius-xl),"class=""rounded-t-xl"""
rounded-tl-lg,定位,border-top-left-radius:var(--radius-lg),"class=""rounded-tl-lg"""
rounded-tl-none,定位,border-top-left-radius:0,"class=""rounded-tl-none"""
rounded-tl-sm,定位,border-top-left-radius:var(--radius-sm),"class=""rounded-tl-sm"""
rounded-tr-none,定位,border-top-right-radius:0,"class=""rounded-tr-none"""
rounded-tr-sm,定位,border-top-right-radius:var(--radius-sm),"class=""rounded-tr-sm"""
shadow-2xl,定位,"box-shadow:var(--tw-inset-shadow),var(--tw-inset-ring-shadow),var(--tw-ring-offset-shadow),var(--tw-ring-shadow),var(--tw-shadow) | --tw-shadow:0 25px 50px -12px var(--tw-shadow-color,#00000040)","class=""shadow-2xl"""
shadow-inner,定位,"box-shadow:var(--tw-inset-shadow),var(--tw-inset-ring-shadow),var(--tw-ring-offset-shadow),var(--tw-ring-shadow),var(--tw-shadow) | --tw-shadow:inset 0 2px 4px 0 var(--tw-shadow-color,#0000000d)","class=""shadow-inner"""
shadow-md,定位,"box-shadow:var(--tw-inset-shadow),var(--tw-inset-ring-shadow),var(--tw-ring-offset-shadow),var(--tw-ring-shadow),var(--tw-shadow) | --tw-shadow:0 4px 6px -1px var(--tw-shadow-color,#0000001a),0 2px 4px -2px var(--tw-shadow-color,#0000001a)","class=""shadow-md"""
shadow-xl,定位,"box-shadow:var(--tw-inset-shadow),var(--tw-inset-ring-shadow),var(--tw-ring-offset-shadow),var(--tw-ring-shadow),var(--tw-shadow) | --tw-shadow:0 20px 25px -5px var(--tw-shadow-color,#0000001a),0 8px 10px -6px var(--tw-shadow-color,#0000001a)","class=""shadow-xl"""
snapshot-wall-masonry-column,定位,background-clip:padding-box; padding-left:16px,"class=""snapshot-wall-masonry-column"""
static,定位,position:static,"class=""static"""
sticky,定位,position:sticky,"class=""sticky"""
swiper-scrollbar-horizontal,定位,background-color:var(--color-dgray-800); border-radius:9999px; width:120px; height:4px; margin-top:10px; margin-left:auto; margin-right:auto; position:relative; left:0,"class=""swiper-scrollbar-horizontal"""
text-left,定位,text-align:left,"class=""text-left"""
text-right,定位,text-align:right,"class=""text-right"""
to-amber-400,定位,"--tw-gradient-to:var(--color-amber-400); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""to-amber-400"""
to-blue-500,定位,"--tw-gradient-to:var(--color-blue-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""to-blue-500"""
to-blue-600,定位,"--tw-gradient-to:var(--color-blue-600); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""to-blue-600"""
to-current,定位,"--tw-gradient-to:currentcolor; --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""to-current"""
to-gray-900,定位,"--tw-gradient-to:var(--color-gray-900); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""to-gray-900"""
to-green-500,定位,"--tw-gradient-to:var(--color-green-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""to-green-500"""
to-pink-500,定位,"--tw-gradient-to:var(--color-pink-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""to-pink-500"""
to-purple-500,定位,"--tw-gradient-to:var(--color-purple-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""to-purple-500"""
to-red-500,定位,"--tw-gradient-to:var(--color-red-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""to-red-500"""
to-rose-500,定位,"--tw-gradient-to:var(--color-rose-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""to-rose-500"""
to-transparent,定位,"--tw-gradient-to:transparent; --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""to-transparent"""
to-yellow-500,定位,"--tw-gradient-to:var(--color-yellow-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-to)var(--tw-gradient-to-position))","class=""to-yellow-500"""
top-0,定位,top:calc(var(--spacing)*0),"class=""top-0"""
top-1,定位,top:calc(var(--spacing)*1),"class=""top-1"""
top-15,定位,top:calc(var(--spacing)*15),"class=""top-15"""
top-2,定位,top:calc(var(--spacing)*2),"class=""top-2"""
top-3,定位,top:calc(var(--spacing)*3),"class=""top-3"""
top-4,定位,top:calc(var(--spacing)*4),"class=""top-4"""
top-5,定位,top:calc(var(--spacing)*5),"class=""top-5"""
top-6,定位,top:calc(var(--spacing)*6),"class=""top-6"""
top-8,定位,top:calc(var(--spacing)*8),"class=""top-8"""
via-current,定位,"--tw-gradient-via:currentcolor; --tw-gradient-via-stops:var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-via)var(--tw-gradient-via-position),var(--tw-gradient-to)var(--tw-gradient-to-position); --tw-gradient-stops:var(--tw-gradient-via-stops)","class=""via-current"""
via-pink-500,定位,"--tw-gradient-via:var(--color-pink-500); --tw-gradient-via-stops:var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-via)var(--tw-gradient-via-position),var(--tw-gradient-to)var(--tw-gradient-to-position); --tw-gradient-stops:var(--tw-gradient-via-st","class=""via-pink-500"""
via-red-500,定位,"--tw-gradient-via:var(--color-red-500); --tw-gradient-via-stops:var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-via)var(--tw-gradient-via-position),var(--tw-gradient-to)var(--tw-gradient-to-position); --tw-gradient-stops:var(--tw-gradient-via-sto","class=""via-red-500"""
via-transparent,定位,"--tw-gradient-via:transparent; --tw-gradient-via-stops:var(--tw-gradient-position),var(--tw-gradient-from)var(--tw-gradient-from-position),var(--tw-gradient-via)var(--tw-gradient-via-position),var(--tw-gradient-to)var(--tw-gradient-to-position); --tw-gradient-stops:var(--tw-gradient-via-stops)","class=""via-transparent"""
wedding-border-ornament,定位,"background-image:linear-gradient(var(--wedding-gold),var(--wedding-gold)),linear-gradient(var(--wedding-gold),var(--wedding-gold)),linear-gradient(var(--wedding-gold),var(--wedding-gold)),linear-gradient(var(--wedding-gold),var(--wedding-gold)); background-position:0 0,0 0,100% 100%,100% 100%; backg","class=""wedding-border-ornament"""
wedding-floral-corner,定位,opacity:.15; pointer-events:none; width:80px; height:80px; position:absolute,"class=""wedding-floral-corner"""
z-0,定位,z-index:0,"class=""z-0"""
z-1,定位,z-index:1,"class=""z-1"""
z-10,定位,z-index:10,"class=""z-10"""
z-20,定位,z-index:20,"class=""z-20"""
z-30,定位,z-index:30,"class=""z-30"""
z-40,定位,z-index:40,"class=""z-40"""
z-50,定位,z-index:50,"class=""z-50"""
border,尺寸,border-style:var(--tw-border-style); border-width:1px,"class=""border"""
border-0,尺寸,border-style:var(--tw-border-style); border-width:0,"class=""border-0"""
border-1,尺寸,border-style:var(--tw-border-style); border-width:1px,"class=""border-1"""
border-2,尺寸,border-style:var(--tw-border-style); border-width:2px,"class=""border-2"""
border-4,尺寸,border-style:var(--tw-border-style); border-width:4px,"class=""border-4"""
container,尺寸,width:100% | max-width:40rem | max-width:48rem | max-width:64rem | max-width:80rem | max-width:96rem,"class=""container"""
h-0,尺寸,height:calc(var(--spacing)*0),"class=""h-0"""
h-1,尺寸,height:calc(var(--spacing)*1),"class=""h-1"""
h-10,尺寸,height:calc(var(--spacing)*10),"class=""h-10"""
h-11,尺寸,height:calc(var(--spacing)*11),"class=""h-11"""
h-12,尺寸,height:calc(var(--spacing)*12),"class=""h-12"""
h-14,尺寸,height:calc(var(--spacing)*14),"class=""h-14"""
h-15,尺寸,height:calc(var(--spacing)*15),"class=""h-15"""
h-16,尺寸,height:calc(var(--spacing)*16),"class=""h-16"""
h-2,尺寸,height:calc(var(--spacing)*2),"class=""h-2"""
h-20,尺寸,height:calc(var(--spacing)*20),"class=""h-20"""
h-3,尺寸,height:calc(var(--spacing)*3),"class=""h-3"""
h-32,尺寸,height:calc(var(--spacing)*32),"class=""h-32"""
h-33,尺寸,height:calc(var(--spacing)*33),"class=""h-33"""
h-4,尺寸,height:calc(var(--spacing)*4),"class=""h-4"""
h-40,尺寸,height:calc(var(--spacing)*40),"class=""h-40"""
h-5,尺寸,height:calc(var(--spacing)*5),"class=""h-5"""
h-6,尺寸,height:calc(var(--spacing)*6),"class=""h-6"""
h-64,尺寸,height:calc(var(--spacing)*64),"class=""h-64"""
h-7,尺寸,height:calc(var(--spacing)*7),"class=""h-7"""
h-8,尺寸,height:calc(var(--spacing)*8),"class=""h-8"""
h-9,尺寸,height:calc(var(--spacing)*9),"class=""h-9"""
h-auto,尺寸,height:auto,"class=""h-auto"""
h-dvh,尺寸,height:100dvh,"class=""h-dvh"""
h-full,尺寸,height:100%,"class=""h-full"""
h-px,尺寸,height:1px,"class=""h-px"""
h-screen,尺寸,height:100vh,"class=""h-screen"""
leading-3,尺寸,--tw-leading:calc(var(--spacing)*3); line-height:calc(var(--spacing)*3),"class=""leading-3"""
leading-4,尺寸,--tw-leading:calc(var(--spacing)*4); line-height:calc(var(--spacing)*4),"class=""leading-4"""
leading-5,尺寸,--tw-leading:calc(var(--spacing)*5); line-height:calc(var(--spacing)*5),"class=""leading-5"""
leading-6,尺寸,--tw-leading:calc(var(--spacing)*6); line-height:calc(var(--spacing)*6),"class=""leading-6"""
leading-7,尺寸,--tw-leading:calc(var(--spacing)*7); line-height:calc(var(--spacing)*7),"class=""leading-7"""
leading-8,尺寸,--tw-leading:calc(var(--spacing)*8); line-height:calc(var(--spacing)*8),"class=""leading-8"""
leading-loose,尺寸,--tw-leading:var(--leading-loose); line-height:var(--leading-loose),"class=""leading-loose"""
leading-none,尺寸,--tw-leading:1; line-height:1,"class=""leading-none"""
leading-normal,尺寸,--tw-leading:var(--leading-normal); line-height:var(--leading-normal),"class=""leading-normal"""
leading-relaxed,尺寸,--tw-leading:var(--leading-relaxed); line-height:var(--leading-relaxed),"class=""leading-relaxed"""
leading-snug,尺寸,--tw-leading:var(--leading-snug); line-height:var(--leading-snug),"class=""leading-snug"""
leading-tight,尺寸,--tw-leading:var(--leading-tight); line-height:var(--leading-tight),"class=""leading-tight"""
max-h-12,尺寸,max-height:calc(var(--spacing)*12),"class=""max-h-12"""
max-h-50,尺寸,max-height:calc(var(--spacing)*50),"class=""max-h-50"""
max-h-500,尺寸,max-height:calc(var(--spacing)*500),"class=""max-h-500"""
max-h-60,尺寸,max-height:calc(var(--spacing)*60),"class=""max-h-60"""
max-h-8,尺寸,max-height:calc(var(--spacing)*8),"class=""max-h-8"""
max-h-9,尺寸,max-height:calc(var(--spacing)*9),"class=""max-h-9"""
max-h-96,尺寸,max-height:calc(var(--spacing)*96),"class=""max-h-96"""
max-h-dvh,尺寸,max-height:100dvh,"class=""max-h-dvh"""
max-h-full,尺寸,max-height:100%,"class=""max-h-full"""
max-h-none,尺寸,max-height:none,"class=""max-h-none"""
max-h-screen,尺寸,max-height:100vh,"class=""max-h-screen"""
max-w-100,尺寸,max-width:calc(var(--spacing)*100),"class=""max-w-100"""
max-w-115,尺寸,max-width:calc(var(--spacing)*115),"class=""max-w-115"""
max-w-120,尺寸,max-width:calc(var(--spacing)*120),"class=""max-w-120"""
max-w-132,尺寸,max-width:calc(var(--spacing)*132),"class=""max-w-132"""
max-w-20,尺寸,max-width:calc(var(--spacing)*20),"class=""max-w-20"""
max-w-2xl,尺寸,max-width:var(--container-2xl),"class=""max-w-2xl"""
max-w-3xl,尺寸,max-width:var(--container-3xl),"class=""max-w-3xl"""
max-w-4xl,尺寸,max-width:var(--container-4xl),"class=""max-w-4xl"""
max-w-7xl,尺寸,max-width:var(--container-7xl),"class=""max-w-7xl"""
max-w-content,尺寸,max-width:var(--max-width-content),"class=""max-w-content"""
max-w-full,尺寸,max-width:100%,"class=""max-w-full"""
max-w-lg,尺寸,max-width:var(--container-lg),"class=""max-w-lg"""
max-w-md,尺寸,max-width:var(--container-md),"class=""max-w-md"""
max-w-none,尺寸,max-width:none,"class=""max-w-none"""
max-w-prose,尺寸,max-width:65ch,"class=""max-w-prose"""
max-w-screen,尺寸,max-width:100vw,"class=""max-w-screen"""
max-w-sm,尺寸,max-width:var(--container-sm),"class=""max-w-sm"""
max-w-xl,尺寸,max-width:var(--container-xl),"class=""max-w-xl"""
max-w-xs,尺寸,max-width:var(--container-xs),"class=""max-w-xs"""
min-h-0,尺寸,min-height:calc(var(--spacing)*0),"class=""min-h-0"""
min-h-10,尺寸,min-height:calc(var(--spacing)*10),"class=""min-h-10"""
min-h-12,尺寸,min-height:calc(var(--spacing)*12),"class=""min-h-12"""
min-h-23,尺寸,min-height:calc(var(--spacing)*23),"class=""min-h-23"""
min-h-28,尺寸,min-height:calc(var(--spacing)*28),"class=""min-h-28"""
min-h-6,尺寸,min-height:calc(var(--spacing)*6),"class=""min-h-6"""
min-h-7,尺寸,min-height:calc(var(--spacing)*7),"class=""min-h-7"""
min-h-8,尺寸,min-height:calc(var(--spacing)*8),"class=""min-h-8"""
min-h-9,尺寸,min-height:calc(var(--spacing)*9),"class=""min-h-9"""
min-h-dvh,尺寸,min-height:100dvh,"class=""min-h-dvh"""
min-h-screen,尺寸,min-height:100vh,"class=""min-h-screen"""
min-w-0,尺寸,min-width:calc(var(--spacing)*0),"class=""min-w-0"""
min-w-12,尺寸,min-width:calc(var(--spacing)*12),"class=""min-w-12"""
min-w-16,尺寸,min-width:calc(var(--spacing)*16),"class=""min-w-16"""
min-w-24,尺寸,min-width:calc(var(--spacing)*24),"class=""min-w-24"""
min-w-32,尺寸,min-width:calc(var(--spacing)*32),"class=""min-w-32"""
min-w-36,尺寸,min-width:calc(var(--spacing)*36),"class=""min-w-36"""
min-w-44,尺寸,min-width:calc(var(--spacing)*44),"class=""min-w-44"""
min-w-6,尺寸,min-width:calc(var(--spacing)*6),"class=""min-w-6"""
min-w-9,尺寸,min-width:calc(var(--spacing)*9),"class=""min-w-9"""
outline,尺寸,outline-style:var(--tw-outline-style); outline-width:1px,"class=""outline"""
prose,尺寸,color:var(--tw-prose-body); max-width:65ch | --tw-prose-body:oklch(37.3% .034 259.733); --tw-prose-headings:oklch(21% .034 264.665); --tw-prose-lead:oklch(44.6% .03 256.802); --tw-prose-links:oklch(21% .034 264.665); --tw-prose-bold:oklch(21% .034 264.665); --tw-prose-counters:oklch(55.1% .027 264.364); --tw-prose-bullets:oklch(87.2% .01 258.3,"class=""prose"""
prose-sm,尺寸,font-size:.875rem; line-height:1.71429,"class=""prose-sm"""
resize-none,尺寸,resize:none,"class=""resize-none"""
resize-y,尺寸,resize:vertical,"class=""resize-y"""
scrollbar,尺寸,"scrollbar-width:auto; scrollbar-color:var(--scrollbar-thumb,initial)var(--scrollbar-track,initial)","class=""scrollbar"""
scrollbar-none,尺寸,scrollbar-width:none,"class=""scrollbar-none"""
scrollbar-thin,尺寸,"scrollbar-width:thin; scrollbar-color:var(--scrollbar-thumb,initial)var(--scrollbar-track,initial)","class=""scrollbar-thin"""
size-10,尺寸,width:calc(var(--spacing)*10); height:calc(var(--spacing)*10),"class=""size-10"""
size-11,尺寸,width:calc(var(--spacing)*11); height:calc(var(--spacing)*11),"class=""size-11"""
size-12,尺寸,width:calc(var(--spacing)*12); height:calc(var(--spacing)*12),"class=""size-12"""
size-14,尺寸,width:calc(var(--spacing)*14); height:calc(var(--spacing)*14),"class=""size-14"""
size-16,尺寸,width:calc(var(--spacing)*16); height:calc(var(--spacing)*16),"class=""size-16"""
size-2,尺寸,width:calc(var(--spacing)*2); height:calc(var(--spacing)*2),"class=""size-2"""
size-24,尺寸,width:calc(var(--spacing)*24); height:calc(var(--spacing)*24),"class=""size-24"""
size-3,尺寸,width:calc(var(--spacing)*3); height:calc(var(--spacing)*3),"class=""size-3"""
size-38,尺寸,width:calc(var(--spacing)*38); height:calc(var(--spacing)*38),"class=""size-38"""
size-4,尺寸,width:calc(var(--spacing)*4); height:calc(var(--spacing)*4),"class=""size-4"""
size-40,尺寸,width:calc(var(--spacing)*40); height:calc(var(--spacing)*40),"class=""size-40"""
size-5,尺寸,width:calc(var(--spacing)*5); height:calc(var(--spacing)*5),"class=""size-5"""
size-6,尺寸,width:calc(var(--spacing)*6); height:calc(var(--spacing)*6),"class=""size-6"""
size-7,尺寸,width:calc(var(--spacing)*7); height:calc(var(--spacing)*7),"class=""size-7"""
size-8,尺寸,width:calc(var(--spacing)*8); height:calc(var(--spacing)*8),"class=""size-8"""
size-9,尺寸,width:calc(var(--spacing)*9); height:calc(var(--spacing)*9),"class=""size-9"""
size-full,尺寸,width:100%; height:100%,"class=""size-full"""
text-2xl,尺寸,"font-size:var(--text-2xl); line-height:var(--tw-leading,var(--text-2xl--line-height))","class=""text-2xl"""
text-3xl,尺寸,"font-size:var(--text-3xl); line-height:var(--tw-leading,var(--text-3xl--line-height))","class=""text-3xl"""
text-4xl,尺寸,"font-size:var(--text-4xl); line-height:var(--tw-leading,var(--text-4xl--line-height))","class=""text-4xl"""
text-base,尺寸,"font-size:var(--text-base); line-height:var(--tw-leading,var(--text-base--line-height))","class=""text-base"""
text-lg,尺寸,"font-size:var(--text-lg); line-height:var(--tw-leading,var(--text-lg--line-height))","class=""text-lg"""
text-sm,尺寸,"font-size:var(--text-sm); line-height:var(--tw-leading,var(--text-sm--line-height))","class=""text-sm"""
text-xl,尺寸,"font-size:var(--text-xl); line-height:var(--tw-leading,var(--text-xl--line-height))","class=""text-xl"""
text-xs,尺寸,"font-size:var(--text-xs); line-height:var(--tw-leading,var(--text-xs--line-height))","class=""text-xs"""
w-1,尺寸,width:calc(var(--spacing)*1),"class=""w-1"""
w-10,尺寸,width:calc(var(--spacing)*10),"class=""w-10"""
w-11,尺寸,width:calc(var(--spacing)*11),"class=""w-11"""
w-12,尺寸,width:calc(var(--spacing)*12),"class=""w-12"""
w-14,尺寸,width:calc(var(--spacing)*14),"class=""w-14"""
w-16,尺寸,width:calc(var(--spacing)*16),"class=""w-16"""
w-18,尺寸,width:calc(var(--spacing)*18),"class=""w-18"""
w-2,尺寸,width:calc(var(--spacing)*2),"class=""w-2"""
w-20,尺寸,width:calc(var(--spacing)*20),"class=""w-20"""
w-24,尺寸,width:calc(var(--spacing)*24),"class=""w-24"""
w-28,尺寸,width:calc(var(--spacing)*28),"class=""w-28"""
w-3,尺寸,width:calc(var(--spacing)*3),"class=""w-3"""
w-32,尺寸,width:calc(var(--spacing)*32),"class=""w-32"""
w-36,尺寸,width:calc(var(--spacing)*36),"class=""w-36"""
w-4,尺寸,width:calc(var(--spacing)*4),"class=""w-4"""
w-40,尺寸,width:calc(var(--spacing)*40),"class=""w-40"""
w-44,尺寸,width:calc(var(--spacing)*44),"class=""w-44"""
w-48,尺寸,width:calc(var(--spacing)*48),"class=""w-48"""
w-5,尺寸,width:calc(var(--spacing)*5),"class=""w-5"""
w-6,尺寸,width:calc(var(--spacing)*6),"class=""w-6"""
w-64,尺寸,width:calc(var(--spacing)*64),"class=""w-64"""
w-7,尺寸,width:calc(var(--spacing)*7),"class=""w-7"""
w-72,尺寸,width:calc(var(--spacing)*72),"class=""w-72"""
w-8,尺寸,width:calc(var(--spacing)*8),"class=""w-8"""
w-84,尺寸,width:calc(var(--spacing)*84),"class=""w-84"""
w-9,尺寸,width:calc(var(--spacing)*9),"class=""w-9"""
w-96,尺寸,width:calc(var(--spacing)*96),"class=""w-96"""
w-auto,尺寸,width:auto,"class=""w-auto"""
w-fit,尺寸,width:fit-content,"class=""w-fit"""
w-full,尺寸,width:100%,"class=""w-full"""
w-px,尺寸,width:1px,"class=""w-px"""
overscroll-y-contain,捲軸,overscroll-behavior-y:contain,"class=""overscroll-y-contain"""
scrollbar-thumb-dgray-800,捲軸,--scrollbar-thumb:#3e3e41,"class=""scrollbar-thumb-dgray-800"""
scrollbar-thumb-transparent,捲軸,--scrollbar-thumb:transparent,"class=""scrollbar-thumb-transparent"""
snap-mandatory,捲軸,--tw-scroll-snap-strictness:mandatory,"class=""snap-mandatory"""
snap-start,捲軸,scroll-snap-align:start,"class=""snap-start"""
snap-y,捲軸,scroll-snap-type:y var(--tw-scroll-snap-strictness),"class=""snap-y"""
capitalize,文字,text-transform:capitalize,"class=""capitalize"""
font-black,文字,--tw-font-weight:var(--font-weight-black); font-weight:var(--font-weight-black),"class=""font-black"""
font-bold,文字,--tw-font-weight:var(--font-weight-bold); font-weight:var(--font-weight-bold),"class=""font-bold"""
font-cormorant,文字,font-family:var(--font-cormorant),"class=""font-cormorant"""
font-extrabold,文字,--tw-font-weight:var(--font-weight-extrabold); font-weight:var(--font-weight-extrabold),"class=""font-extrabold"""
font-light,文字,--tw-font-weight:var(--font-weight-light); font-weight:var(--font-weight-light),"class=""font-light"""
font-medium,文字,--tw-font-weight:var(--font-weight-medium); font-weight:var(--font-weight-medium),"class=""font-medium"""
font-mono,文字,font-family:var(--font-mono),"class=""font-mono"""
font-normal,文字,--tw-font-weight:var(--font-weight-normal); font-weight:var(--font-weight-normal),"class=""font-normal"""
font-notoKr,文字,font-family:var(--font-notoKr),"class=""font-notoKr"""
font-playfair,文字,font-family:var(--font-playfair),"class=""font-playfair"""
font-pretendard,文字,font-family:var(--font-pretendard),"class=""font-pretendard"""
font-racing,文字,font-family:var(--font-racing),"class=""font-racing"""
font-sans,文字,font-family:var(--font-sans),"class=""font-sans"""
font-semibold,文字,--tw-font-weight:var(--font-weight-semibold); font-weight:var(--font-weight-semibold),"class=""font-semibold"""
font-serif,文字,font-family:var(--font-serif),"class=""font-serif"""
indent-4,文字,text-indent:calc(var(--spacing)*4),"class=""indent-4"""
line-through,文字,text-decoration-line:line-through,"class=""line-through"""
lowercase,文字,text-transform:lowercase,"class=""lowercase"""
no-underline,文字,text-decoration-line:none,"class=""no-underline"""
text-amber-400,文字,color:var(--color-amber-400),"class=""text-amber-400"""
text-amber-500,文字,color:var(--color-amber-500),"class=""text-amber-500"""
text-amber-600,文字,color:var(--color-amber-600),"class=""text-amber-600"""
text-amber-800,文字,color:var(--color-amber-800),"class=""text-amber-800"""
text-asker-name,文字,color:var(--color-asker-name),"class=""text-asker-name"""
text-balance,文字,text-wrap:balance,"class=""text-balance"""
text-black,文字,color:var(--color-black),"class=""text-black"""
text-blue-300,文字,color:var(--color-blue-300),"class=""text-blue-300"""
text-blue-400,文字,color:var(--color-blue-400),"class=""text-blue-400"""
text-blue-500,文字,color:var(--color-blue-500),"class=""text-blue-500"""
text-blue-700,文字,color:var(--color-blue-700),"class=""text-blue-700"""
text-caveduck-shadow,文字,"text-shadow:1px 1px 2px #000000b3,-1px -1px 2px #000000b3,1px -1px 2px #000000b3,-1px 1px 2px #000000b3","class=""text-caveduck-shadow"""
