class名稱,分類,聊天室,角色介面,樣式
h-screen,尺寸,✓,✓,height:100vh
leading-3,尺寸,✓,✓,--tw-leading:calc(var(--spacing)*3); line-height:calc(var(--spacing)*3)
leading-4,尺寸,✓,✓,--tw-leading:calc(var(--spacing)*4); line-height:calc(var(--spacing)*4)
leading-5,尺寸,✓,✓,--tw-leading:calc(var(--spacing)*5); line-height:calc(var(--spacing)*5)
leading-6,尺寸,✓,✓,--tw-leading:calc(var(--spacing)*6); line-height:calc(var(--spacing)*6)
leading-7,尺寸,✓,✓,--tw-leading:calc(var(--spacing)*7); line-height:calc(var(--spacing)*7)
leading-8,尺寸,✓,✓,--tw-leading:calc(var(--spacing)*8); line-height:calc(var(--spacing)*8)
leading-loose,尺寸,✓,✓,--tw-leading:var(--leading-loose); line-height:var(--leading-loose)
leading-none,尺寸,✓,✓,--tw-leading:1; line-height:1
leading-normal,尺寸,✓,✓,--tw-leading:var(--leading-normal); line-height:var(--leading-normal)
leading-relaxed,尺寸,✓,✓,--tw-leading:var(--leading-relaxed); line-height:var(--leading-relaxed)
leading-snug,尺寸,✓,✓,--tw-leading:var(--leading-snug); line-height:var(--leading-snug)
leading-tight,尺寸,✓,✓,--tw-leading:var(--leading-tight); line-height:var(--leading-tight)
max-h-12,尺寸,✓,✓,max-height:calc(var(--spacing)*12)
max-h-50,尺寸,✓,✓,max-height:calc(var(--spacing)*50)
max-h-500,尺寸,✓,✓,max-height:calc(var(--spacing)*500)
max-h-60,尺寸,✓,✓,max-height:calc(var(--spacing)*60)
max-h-8,尺寸,✓,✓,max-height:calc(var(--spacing)*8)
max-h-9,尺寸,✓,✓,max-height:calc(var(--spacing)*9)
max-h-96,尺寸,✓,✓,max-height:calc(var(--spacing)*96)
max-h-dvh,尺寸,✓,✓,max-height:100dvh
max-h-full,尺寸,✓,✓,max-height:100%
max-h-none,尺寸,✓,✓,max-height:none
max-h-screen,尺寸,✓,✓,max-height:100vh
max-w-100,尺寸,✓,✓,max-width:calc(var(--spacing)*100)
max-w-115,尺寸,✓,✓,max-width:calc(var(--spacing)*115)
max-w-120,尺寸,✓,✓,max-width:calc(var(--spacing)*120)
max-w-132,尺寸,✓,✓,max-width:calc(var(--spacing)*132)
max-w-20,尺寸,✓,✓,max-width:calc(var(--spacing)*20)
max-w-2xl,尺寸,✓,✓,max-width:var(--container-2xl)
max-w-3xl,尺寸,✓,✓,max-width:var(--container-3xl)
max-w-4xl,尺寸,✓,✓,max-width:var(--container-4xl)
max-w-7xl,尺寸,✓,✓,max-width:var(--container-7xl)
max-w-content,尺寸,✓,✓,max-width:var(--max-width-content)
max-w-full,尺寸,✓,✓,max-width:100%
max-w-lg,尺寸,✓,✓,max-width:var(--container-lg)
max-w-md,尺寸,✓,✓,max-width:var(--container-md)
max-w-none,尺寸,✓,✓,max-width:none
max-w-prose,尺寸,✓,✓,max-width:65ch
max-w-screen,尺寸,✓,✓,max-width:100vw
max-w-sm,尺寸,✓,✓,max-width:var(--container-sm)
max-w-xl,尺寸,✓,✓,max-width:var(--container-xl)
max-w-xs,尺寸,✓,✓,max-width:var(--container-xs)
min-h-0,尺寸,✓,✓,min-height:calc(var(--spacing)*0)
min-h-10,尺寸,✓,✓,min-height:calc(var(--spacing)*10)
min-h-12,尺寸,✓,✓,min-height:calc(var(--spacing)*12)
min-h-23,尺寸,✓,✓,min-height:calc(var(--spacing)*23)
min-h-28,尺寸,✓,✓,min-height:calc(var(--spacing)*28)
min-h-6,尺寸,✓,✓,min-height:calc(var(--spacing)*6)
min-h-7,尺寸,✓,✓,min-height:calc(var(--spacing)*7)
min-h-8,尺寸,✓,✓,min-height:calc(var(--spacing)*8)
min-h-9,尺寸,✓,✓,min-height:calc(var(--spacing)*9)
min-h-dvh,尺寸,✓,✓,min-height:100dvh
min-h-screen,尺寸,✓,✓,min-height:100vh
min-w-0,尺寸,✓,✓,min-width:calc(var(--spacing)*0)
min-w-12,尺寸,✓,✓,min-width:calc(var(--spacing)*12)
min-w-16,尺寸,✓,✓,min-width:calc(var(--spacing)*16)
min-w-24,尺寸,✓,✓,min-width:calc(var(--spacing)*24)
min-w-32,尺寸,✓,✓,min-width:calc(var(--spacing)*32)
min-w-36,尺寸,✓,✓,min-width:calc(var(--spacing)*36)
min-w-44,尺寸,✓,✓,min-width:calc(var(--spacing)*44)
min-w-6,尺寸,✓,✓,min-width:calc(var(--spacing)*6)
min-w-9,尺寸,✓,✓,min-width:calc(var(--spacing)*9)
outline,尺寸,✓,✓,outline-style:var(--tw-outline-style); outline-width:1px
prose,尺寸,✓,✓,color:var(--tw-prose-body); max-width:65ch | --tw-prose-body:oklch(37.3% .034 259.733); --tw-prose-h
prose-sm,尺寸,✓,✓,font-size:.875rem; line-height:1.71429
resize-none,尺寸,✓,✓,resize:none
resize-y,尺寸,✓,✓,resize:vertical
scrollbar,尺寸,✓,✓,"scrollbar-width:auto; scrollbar-color:var(--scrollbar-thumb,initial)var(--scrollbar-track,initial)"
scrollbar-none,尺寸,✓,✓,scrollbar-width:none
scrollbar-thin,尺寸,✓,✓,"scrollbar-width:thin; scrollbar-color:var(--scrollbar-thumb,initial)var(--scrollbar-track,initial)"
size-10,尺寸,✓,✓,width:calc(var(--spacing)*10); height:calc(var(--spacing)*10)
size-11,尺寸,✓,✓,width:calc(var(--spacing)*11); height:calc(var(--spacing)*11)
size-12,尺寸,✓,✓,width:calc(var(--spacing)*12); height:calc(var(--spacing)*12)
size-14,尺寸,✓,✓,width:calc(var(--spacing)*14); height:calc(var(--spacing)*14)
size-16,尺寸,✓,✓,width:calc(var(--spacing)*16); height:calc(var(--spacing)*16)
size-2,尺寸,✓,✓,width:calc(var(--spacing)*2); height:calc(var(--spacing)*2)
size-24,尺寸,✓,✓,width:calc(var(--spacing)*24); height:calc(var(--spacing)*24)
size-3,尺寸,✓,✓,width:calc(var(--spacing)*3); height:calc(var(--spacing)*3)
size-38,尺寸,✓,✓,width:calc(var(--spacing)*38); height:calc(var(--spacing)*38)
size-4,尺寸,✓,✓,width:calc(var(--spacing)*4); height:calc(var(--spacing)*4)
size-40,尺寸,✓,✓,width:calc(var(--spacing)*40); height:calc(var(--spacing)*40)
size-5,尺寸,✓,✓,width:calc(var(--spacing)*5); height:calc(var(--spacing)*5)
size-6,尺寸,✓,✓,width:calc(var(--spacing)*6); height:calc(var(--spacing)*6)
size-7,尺寸,✓,✓,width:calc(var(--spacing)*7); height:calc(var(--spacing)*7)
size-8,尺寸,✓,✓,width:calc(var(--spacing)*8); height:calc(var(--spacing)*8)
size-9,尺寸,✓,✓,width:calc(var(--spacing)*9); height:calc(var(--spacing)*9)
size-full,尺寸,✓,✓,width:100%; height:100%
text-2xl,尺寸,✓,✓,"font-size:var(--text-2xl); line-height:var(--tw-leading,var(--text-2xl--line-height))"
text-3xl,尺寸,✓,✓,"font-size:var(--text-3xl); line-height:var(--tw-leading,var(--text-3xl--line-height))"
text-4xl,尺寸,✓,✓,"font-size:var(--text-4xl); line-height:var(--tw-leading,var(--text-4xl--line-height))"
text-base,尺寸,✓,✓,"font-size:var(--text-base); line-height:var(--tw-leading,var(--text-base--line-height))"
text-lg,尺寸,✓,✓,"font-size:var(--text-lg); line-height:var(--tw-leading,var(--text-lg--line-height))"
text-sm,尺寸,✓,✓,"font-size:var(--text-sm); line-height:var(--tw-leading,var(--text-sm--line-height))"
text-xl,尺寸,✓,✓,"font-size:var(--text-xl); line-height:var(--tw-leading,var(--text-xl--line-height))"
text-xs,尺寸,✓,✓,"font-size:var(--text-xs); line-height:var(--tw-leading,var(--text-xs--line-height))"
w-1,尺寸,✓,✓,width:calc(var(--spacing)*1)
w-10,尺寸,✓,✓,width:calc(var(--spacing)*10)
w-11,尺寸,✓,✓,width:calc(var(--spacing)*11)
w-12,尺寸,✓,✓,width:calc(var(--spacing)*12)
w-14,尺寸,✓,✓,width:calc(var(--spacing)*14)
w-16,尺寸,✓,✓,width:calc(var(--spacing)*16)
w-18,尺寸,✓,✓,width:calc(var(--spacing)*18)
w-2,尺寸,✓,✓,width:calc(var(--spacing)*2)
w-20,尺寸,✓,✓,width:calc(var(--spacing)*20)
w-24,尺寸,✓,✓,width:calc(var(--spacing)*24)
w-28,尺寸,✓,✓,width:calc(var(--spacing)*28)
w-3,尺寸,✓,✓,width:calc(var(--spacing)*3)
w-32,尺寸,✓,✓,width:calc(var(--spacing)*32)
w-36,尺寸,✓,✓,width:calc(var(--spacing)*36)
w-4,尺寸,✓,✓,width:calc(var(--spacing)*4)
w-40,尺寸,✓,✓,width:calc(var(--spacing)*40)
w-44,尺寸,✓,✓,width:calc(var(--spacing)*44)
w-48,尺寸,✓,✓,width:calc(var(--spacing)*48)
w-5,尺寸,✓,✓,width:calc(var(--spacing)*5)
w-6,尺寸,✓,✓,width:calc(var(--spacing)*6)
w-64,尺寸,✓,✓,width:calc(var(--spacing)*64)
w-7,尺寸,✓,✓,width:calc(var(--spacing)*7)
w-72,尺寸,✓,✓,width:calc(var(--spacing)*72)
w-8,尺寸,✓,✓,width:calc(var(--spacing)*8)
w-84,尺寸,✓,✓,width:calc(var(--spacing)*84)
w-9,尺寸,✓,✓,width:calc(var(--spacing)*9)
w-96,尺寸,✓,✓,width:calc(var(--spacing)*96)
w-auto,尺寸,✓,✓,width:auto
w-fit,尺寸,✓,✓,width:fit-content
w-full,尺寸,✓,✓,width:100%
w-px,尺寸,✓,✓,width:1px
overscroll-y-contain,捲軸,✓,✓,overscroll-behavior-y:contain
scrollbar-thumb-dgray-800,捲軸,✓,✓,--scrollbar-thumb:#3e3e41
scrollbar-thumb-transparent,捲軸,✓,✓,--scrollbar-thumb:transparent
snap-mandatory,捲軸,✓,✓,--tw-scroll-snap-strictness:mandatory
snap-start,捲軸,✓,✓,scroll-snap-align:start
snap-y,捲軸,✓,✓,scroll-snap-type:y var(--tw-scroll-snap-strictness)
capitalize,文字,✓,✓,text-transform:capitalize
font-black,文字,✓,✓,--tw-font-weight:var(--font-weight-black); font-weight:var(--font-weight-black)
font-bold,文字,✓,✓,--tw-font-weight:var(--font-weight-bold); font-weight:var(--font-weight-bold)
font-cormorant,文字,✓,✓,font-family:var(--font-cormorant)
font-extrabold,文字,✓,✓,--tw-font-weight:var(--font-weight-extrabold); font-weight:var(--font-weight-extrabold)
font-light,文字,✓,✓,--tw-font-weight:var(--font-weight-light); font-weight:var(--font-weight-light)
font-medium,文字,✓,✓,--tw-font-weight:var(--font-weight-medium); font-weight:var(--font-weight-medium)
font-mono,文字,✓,✓,font-family:var(--font-mono)
font-normal,文字,✓,✓,--tw-font-weight:var(--font-weight-normal); font-weight:var(--font-weight-normal)
font-notoKr,文字,✓,✓,font-family:var(--font-notoKr)
font-playfair,文字,✓,✓,font-family:var(--font-playfair)
font-pretendard,文字,✓,✓,font-family:var(--font-pretendard)
font-racing,文字,✓,✓,font-family:var(--font-racing)
font-sans,文字,✓,✓,font-family:var(--font-sans)
font-semibold,文字,✓,✓,--tw-font-weight:var(--font-weight-semibold); font-weight:var(--font-weight-semibold)
font-serif,文字,✓,✓,font-family:var(--font-serif)
indent-4,文字,✓,✓,text-indent:calc(var(--spacing)*4)
line-through,文字,✓,✓,text-decoration-line:line-through
lowercase,文字,✓,✓,text-transform:lowercase
no-underline,文字,✓,✓,text-decoration-line:none
text-amber-400,文字,✓,✓,color:var(--color-amber-400)
text-amber-500,文字,✓,✓,color:var(--color-amber-500)
text-amber-600,文字,✓,✓,color:var(--color-amber-600)
text-amber-800,文字,✓,✓,color:var(--color-amber-800)
text-asker-name,文字,✓,✓,color:var(--color-asker-name)
text-balance,文字,✓,✓,text-wrap:balance
text-black,文字,✓,✓,color:var(--color-black)
text-blue-300,文字,✓,✓,color:var(--color-blue-300)
text-blue-400,文字,✓,✓,color:var(--color-blue-400)
text-blue-500,文字,✓,✓,color:var(--color-blue-500)
text-blue-700,文字,✓,✓,color:var(--color-blue-700)
text-caveduck-shadow,文字,✓,✓,"text-shadow:1px 1px 2px #000000b3,-1px -1px 2px #000000b3,1px -1px 2px #000000b3,-1px 1px 2px #00000"
text-center,文字,✓,✓,text-align:center
text-char-name,文字,✓,✓,color:var(--color-char-name)
text-creator,文字,✓,✓,color:var(--color-creator)
text-cyan-400,文字,✓,✓,color:var(--color-cyan-400)
text-dgray-100,文字,✓,✓,color:var(--color-dgray-100)
text-dgray-200,文字,✓,✓,color:var(--color-dgray-200)
text-dgray-300,文字,✓,✓,color:var(--color-dgray-300)
text-dgray-400,文字,✓,✓,color:var(--color-dgray-400)
text-dgray-50,文字,✓,✓,color:var(--color-dgray-50)
text-dgray-500,文字,✓,✓,color:var(--color-dgray-500)
text-dgray-600,文字,✓,✓,color:var(--color-dgray-600)
text-dgray-700,文字,✓,✓,color:var(--color-dgray-700)
text-dgray-800,文字,✓,✓,color:var(--color-dgray-800)
text-dgray-900,文字,✓,✓,color:var(--color-dgray-900)
text-dgray-black,文字,✓,✓,color:var(--color-dgray-black)
text-dgray-white,文字,✓,✓,color:var(--color-dgray-white)
text-duck-pink1,文字,✓,✓,color:var(--color-duck-pink1)
text-duck-pink2,文字,✓,✓,color:var(--color-duck-pink2)
text-duck-yellow,文字,✓,✓,color:var(--color-duck-yellow)
text-ellipsis,文字,✓,✓,text-overflow:ellipsis
text-emerald-300,文字,✓,✓,color:var(--color-emerald-300)
text-emerald-400,文字,✓,✓,color:var(--color-emerald-400)
text-emerald-500,文字,✓,✓,color:var(--color-emerald-500)
text-error,文字,✓,✓,color:var(--color-error)
text-foreground,文字,✓,✓,color:var(--color-foreground)
text-gray-100,文字,✓,✓,color:var(--color-gray-100)
text-gray-200,文字,✓,✓,color:var(--color-gray-200)
text-gray-300,文字,✓,✓,color:var(--color-gray-300)
text-gray-400,文字,✓,✓,color:var(--color-gray-400)
text-gray-500,文字,✓,✓,color:var(--color-gray-500)
text-gray-600,文字,✓,✓,color:var(--color-gray-600)
text-gray-700,文字,✓,✓,color:var(--color-gray-700)
text-gray-800,文字,✓,✓,color:var(--color-gray-800)
text-gray-900,文字,✓,✓,color:var(--color-gray-900)
text-green-300,文字,✓,✓,color:var(--color-green-300)
text-green-400,文字,✓,✓,color:var(--color-green-400)
text-green-500,文字,✓,✓,color:var(--color-green-500)
text-green-600,文字,✓,✓,color:var(--color-green-600)
text-green-800,文字,✓,✓,color:var(--color-green-800)
text-heading-medium,文字,✓,✓,font-size:var(--text-heading-medium)
text-indigo-400,文字,✓,✓,color:var(--color-indigo-400)
text-nowrap,文字,✓,✓,text-wrap:nowrap
text-official-creator,文字,✓,✓,color:var(--color-official-creator)
text-orange-400,文字,✓,✓,color:var(--color-orange-400)
text-orange-500,文字,✓,✓,color:var(--color-orange-500)
text-pink-400,文字,✓,✓,color:var(--color-pink-400)
text-pink-500,文字,✓,✓,color:var(--color-pink-500)
text-pink-700,文字,✓,✓,color:var(--color-pink-700)
text-pretty,文字,✓,✓,text-wrap:pretty
text-primary,文字,✓,✓,color:var(--color-primary)
text-purple-300,文字,✓,✓,color:var(--color-purple-300)
text-purple-400,文字,✓,✓,color:var(--color-purple-400)
text-purple-500,文字,✓,✓,color:var(--color-purple-500)
text-red-300,文字,✓,✓,color:var(--color-red-300)
text-red-400,文字,✓,✓,color:var(--color-red-400)
text-red-500,文字,✓,✓,color:var(--color-red-500)
text-red-600,文字,✓,✓,color:var(--color-red-600)
text-red-700,文字,✓,✓,color:var(--color-red-700)
text-red-800,文字,✓,✓,color:var(--color-red-800)
text-rose-300,文字,✓,✓,color:var(--color-rose-300)
text-rose-400,文字,✓,✓,color:var(--color-rose-400)
text-rose-500,文字,✓,✓,color:var(--color-rose-500)
text-teal-400,文字,✓,✓,color:var(--color-teal-400)
text-white,文字,✓,✓,color:var(--color-white)
text-yellow-300,文字,✓,✓,color:var(--color-yellow-300)
text-yellow-400,文字,✓,✓,color:var(--color-yellow-400)
text-yellow-500,文字,✓,✓,color:var(--color-yellow-500)
text-yellow-600,文字,✓,✓,color:var(--color-yellow-600)
text-zinc-100,文字,✓,✓,color:var(--color-zinc-100)
text-zinc-200,文字,✓,✓,color:var(--color-zinc-200)
text-zinc-300,文字,✓,✓,color:var(--color-zinc-300)
text-zinc-400,文字,✓,✓,color:var(--color-zinc-400)
text-zinc-500,文字,✓,✓,color:var(--color-zinc-500)
transition-colors,文字,✓,✓,"transition-property:color,background-color,border-color,outline-color,text-decoration-color,fill,str"
underline,文字,✓,✓,text-decoration-line:underline
underline-offset-2,文字,✓,✓,text-underline-offset:2px
underline-offset-4,文字,✓,✓,text-underline-offset:4px
uppercase,文字,✓,✓,text-transform:uppercase
backdrop-blur,濾鏡,✓,✓,--tw-backdrop-blur:blur(8px)
backdrop-blur-sm,濾鏡,✓,✓,--tw-backdrop-blur:blur(var(--blur-sm))
blur,濾鏡,✓,✓,--tw-blur:blur(8px)
blur-md,濾鏡,✓,✓,--tw-blur:blur(var(--blur-md))
-rotate-90,變形,✓,✓,rotate:-90deg
grayscale,變形,✓,✓,"--tw-grayscale:grayscale(100%) | filter:var(--tw-blur,)var(--tw-brightness,)var(--tw-contrast,)var(-"
rotate-0,變形,✓,✓,rotate:none
rotate-180,變形,✓,✓,rotate:180deg
rotate-90,變形,✓,✓,rotate:90deg
scale-100,變形,✓,✓,--tw-scale-x:100%; --tw-scale-y:100%; --tw-scale-z:100%
scale-75,變形,✓,✓,--tw-scale-x:75%; --tw-scale-y:75%; --tw-scale-z:75% | scale:var(--tw-scale-x)var(--tw-scale-y)
transform,變形,✓,✓,"transform:var(--tw-rotate-x,)var(--tw-rotate-y,)var(--tw-rotate-z,)var(--tw-skew-x,)var(--tw-skew-y,"
transition-transform,變形,✓,✓,"transition-property:transform,translate,scale,rotate; transition-timing-function:var(--tw-ease,var(-"
translate-x-0,變形,✓,✓,--tw-translate-x:calc(var(--spacing)*0)
translate-x-4,變形,✓,✓,--tw-translate-x:calc(var(--spacing)*4)
zoom-in,變形,✓,✓,--tw-enter-scale:0
zoom-in-95,變形,✓,✓,--tw-enter-scale:.95
zoom-out,變形,✓,✓,--tw-exit-scale:0
-m-2,間距,✓,✓,margin:calc(var(--spacing)*-2)
25,間距,✓,✓,gap:calc(var(--spacing)*2.25)
gap-0,間距,✓,✓,gap:calc(var(--spacing)*0)
gap-1,間距,✓,✓,gap:calc(var(--spacing)*1)
gap-10,間距,✓,✓,gap:calc(var(--spacing)*10)
gap-12,間距,✓,✓,gap:calc(var(--spacing)*12)
gap-2,間距,✓,✓,gap:calc(var(--spacing)*2)
gap-3,間距,✓,✓,gap:calc(var(--spacing)*3)
gap-4,間距,✓,✓,gap:calc(var(--spacing)*4)
gap-5,間距,✓,✓,gap:calc(var(--spacing)*5)
gap-6,間距,✓,✓,gap:calc(var(--spacing)*6)
gap-7,間距,✓,✓,gap:calc(var(--spacing)*7)
gap-8,間距,✓,✓,gap:calc(var(--spacing)*8)
gap-9,間距,✓,✓,gap:calc(var(--spacing)*9)
gap-x-1,間距,✓,✓,column-gap:calc(var(--spacing)*1)
gap-x-2,間距,✓,✓,column-gap:calc(var(--spacing)*2)
gap-x-6,間距,✓,✓,column-gap:calc(var(--spacing)*6)
gap-y-1,間距,✓,✓,row-gap:calc(var(--spacing)*1)
gap-y-2,間距,✓,✓,row-gap:calc(var(--spacing)*2)
gap-y-3,間距,✓,✓,row-gap:calc(var(--spacing)*3)
m-0,間距,✓,✓,margin:calc(var(--spacing)*0)
m-1,間距,✓,✓,margin:calc(var(--spacing)*1)
m-2,間距,✓,✓,margin:calc(var(--spacing)*2)
m-3,間距,✓,✓,margin:calc(var(--spacing)*3)
m-4,間距,✓,✓,margin:calc(var(--spacing)*4)
m-auto,間距,✓,✓,margin:auto
p-0,間距,✓,✓,padding:calc(var(--spacing)*0)
p-1,間距,✓,✓,padding:calc(var(--spacing)*1)
p-2,間距,✓,✓,padding:calc(var(--spacing)*2)
p-3,間距,✓,✓,padding:calc(var(--spacing)*3)
p-4,間距,✓,✓,padding:calc(var(--spacing)*4)
p-5,間距,✓,✓,padding:calc(var(--spacing)*5)
p-6,間距,✓,✓,padding:calc(var(--spacing)*6)
p-8,間距,✓,✓,padding:calc(var(--spacing)*8)
accent-current,顏色/背景/邊框,✓,✓,accent-color:currentColor
accent-primary,顏色/背景/邊框,✓,✓,accent-color:var(--color-primary)
bg-amber-100,顏色/背景/邊框,✓,✓,background-color:var(--color-amber-100)
bg-amber-500,顏色/背景/邊框,✓,✓,background-color:var(--color-amber-500)
bg-background,顏色/背景/邊框,✓,✓,background-color:var(--color-background)
bg-background-500,顏色/背景/邊框,✓,✓,background-color:var(--color-background-500)
bg-background-700,顏色/背景/邊框,✓,✓,background-color:var(--color-background-700)
bg-background-900,顏色/背景/邊框,✓,✓,background-color:var(--color-background-900)
bg-black,顏色/背景/邊框,✓,✓,background-color:var(--color-black)
bg-blue-100,顏色/背景/邊框,✓,✓,background-color:var(--color-blue-100)
bg-blue-400,顏色/背景/邊框,✓,✓,background-color:var(--color-blue-400)
bg-blue-500,顏色/背景/邊框,✓,✓,background-color:var(--color-blue-500)
bg-blue-600,顏色/背景/邊框,✓,✓,background-color:var(--color-blue-600)
bg-blue-700,顏色/背景/邊框,✓,✓,background-color:var(--color-blue-700)
bg-cover,顏色/背景/邊框,✓,✓,background-size:cover
bg-current,顏色/背景/邊框,✓,✓,background-color:currentColor
bg-cyan-400,顏色/背景/邊框,✓,✓,background-color:var(--color-cyan-400)
bg-cyan-500,顏色/背景/邊框,✓,✓,background-color:var(--color-cyan-500)
bg-dgray-100,顏色/背景/邊框,✓,✓,background-color:var(--color-dgray-100)
bg-dgray-200,顏色/背景/邊框,✓,✓,background-color:var(--color-dgray-200)
bg-dgray-400,顏色/背景/邊框,✓,✓,background-color:var(--color-dgray-400)
bg-dgray-50,顏色/背景/邊框,✓,✓,background-color:var(--color-dgray-50)
bg-dgray-500,顏色/背景/邊框,✓,✓,background-color:var(--color-dgray-500)
bg-dgray-600,顏色/背景/邊框,✓,✓,background-color:var(--color-dgray-600)
bg-dgray-700,顏色/背景/邊框,✓,✓,background-color:var(--color-dgray-700)
bg-dgray-800,顏色/背景/邊框,✓,✓,background-color:var(--color-dgray-800)
bg-dgray-900,顏色/背景/邊框,✓,✓,background-color:var(--color-dgray-900)
bg-dgray-white,顏色/背景/邊框,✓,✓,background-color:var(--color-dgray-white)
bg-duck-pink1,顏色/背景/邊框,✓,✓,background-color:var(--color-duck-pink1)
bg-duck-pink2,顏色/背景/邊框,✓,✓,background-color:var(--color-duck-pink2)
bg-duck-pink5,顏色/背景/邊框,✓,✓,background-color:var(--color-duck-pink5)
bg-duck-yellow,顏色/背景/邊框,✓,✓,background-color:var(--color-duck-yellow)
bg-foreground,顏色/背景/邊框,✓,✓,background-color:var(--color-foreground)
bg-gray-100,顏色/背景/邊框,✓,✓,background-color:var(--color-gray-100)
bg-gray-200,顏色/背景/邊框,✓,✓,background-color:var(--color-gray-200)
bg-gray-300,顏色/背景/邊框,✓,✓,background-color:var(--color-gray-300)
bg-gray-400,顏色/背景/邊框,✓,✓,background-color:var(--color-gray-400)
bg-gray-50,顏色/背景/邊框,✓,✓,background-color:var(--color-gray-50)
bg-gray-500,顏色/背景/邊框,✓,✓,background-color:var(--color-gray-500)
bg-gray-600,顏色/背景/邊框,✓,✓,background-color:var(--color-gray-600)
bg-gray-700,顏色/背景/邊框,✓,✓,background-color:var(--color-gray-700)
bg-gray-800,顏色/背景/邊框,✓,✓,background-color:var(--color-gray-800)
bg-gray-900,顏色/背景/邊框,✓,✓,background-color:var(--color-gray-900)
bg-green-100,顏色/背景/邊框,✓,✓,background-color:var(--color-green-100)
bg-green-400,顏色/背景/邊框,✓,✓,background-color:var(--color-green-400)
bg-green-500,顏色/背景/邊框,✓,✓,background-color:var(--color-green-500)
bg-green-600,顏色/背景/邊框,✓,✓,background-color:var(--color-green-600)
bg-green-700,顏色/背景/邊框,✓,✓,background-color:var(--color-green-700)
bg-inherit,顏色/背景/邊框,✓,✓,background-color:inherit
bg-pink-100,顏色/背景/邊框,✓,✓,background-color:var(--color-pink-100)
bg-pink-400,顏色/背景/邊框,✓,✓,background-color:var(--color-pink-400)
bg-pink-50,顏色/背景/邊框,✓,✓,background-color:var(--color-pink-50)
bg-pink-500,顏色/背景/邊框,✓,✓,background-color:var(--color-pink-500)
bg-primary,顏色/背景/邊框,✓,✓,background-color:var(--color-primary)
bg-purple-400,顏色/背景/邊框,✓,✓,background-color:var(--color-purple-400)
bg-purple-500,顏色/背景/邊框,✓,✓,background-color:var(--color-purple-500)
bg-red-100,顏色/背景/邊框,✓,✓,background-color:var(--color-red-100)
bg-red-400,顏色/背景/邊框,✓,✓,background-color:var(--color-red-400)
bg-red-50,顏色/背景/邊框,✓,✓,background-color:var(--color-red-50)
bg-red-500,顏色/背景/邊框,✓,✓,background-color:var(--color-red-500)
bg-red-600,顏色/背景/邊框,✓,✓,background-color:var(--color-red-600)
bg-red-700,顏色/背景/邊框,✓,✓,background-color:var(--color-red-700)
bg-red-900,顏色/背景/邊框,✓,✓,background-color:var(--color-red-900)
bg-rose-100,顏色/背景/邊框,✓,✓,background-color:var(--color-rose-100)
bg-rose-200,顏色/背景/邊框,✓,✓,background-color:var(--color-rose-200)
bg-rose-400,顏色/背景/邊框,✓,✓,background-color:var(--color-rose-400)
bg-rose-50,顏色/背景/邊框,✓,✓,background-color:var(--color-rose-50)
bg-secondary,顏色/背景/邊框,✓,✓,background-color:var(--color-secondary)
bg-transparent,顏色/背景/邊框,✓,✓,background-color:#0000
bg-white,顏色/背景/邊框,✓,✓,background-color:var(--color-white)
bg-yellow-100,顏色/背景/邊框,✓,✓,background-color:var(--color-yellow-100)
bg-yellow-400,顏色/背景/邊框,✓,✓,background-color:var(--color-yellow-400)
bg-yellow-500,顏色/背景/邊框,✓,✓,background-color:var(--color-yellow-500)
bg-yellow-600,顏色/背景/邊框,✓,✓,background-color:var(--color-yellow-600)
bg-zinc-400,顏色/背景/邊框,✓,✓,background-color:var(--color-zinc-400)
bg-zinc-800,顏色/背景/邊框,✓,✓,background-color:var(--color-zinc-800)
bg-zinc-900,顏色/背景/邊框,✓,✓,background-color:var(--color-zinc-900)
bg-zinc-950,顏色/背景/邊框,✓,✓,background-color:var(--color-zinc-950)
border-background-500,顏色/背景/邊框,✓,✓,border-color:var(--color-background-500)
border-background-700,顏色/背景/邊框,✓,✓,border-color:var(--color-background-700)
border-background-900,顏色/背景/邊框,✓,✓,border-color:var(--color-background-900)
border-black,顏色/背景/邊框,✓,✓,border-color:var(--color-black)
border-blue-100,顏色/背景/邊框,✓,✓,border-color:var(--color-blue-100)
border-collapse,顏色/背景/邊框,✓,✓,border-collapse:collapse
border-dashed,顏色/背景/邊框,✓,✓,--tw-border-style:dashed; border-style:dashed
border-dgray-200,顏色/背景/邊框,✓,✓,border-color:var(--color-dgray-200)
border-dgray-400,顏色/背景/邊框,✓,✓,border-color:var(--color-dgray-400)
border-dgray-500,顏色/背景/邊框,✓,✓,border-color:var(--color-dgray-500)
border-dgray-600,顏色/背景/邊框,✓,✓,border-color:var(--color-dgray-600)
border-dgray-700,顏色/背景/邊框,✓,✓,border-color:var(--color-dgray-700)
border-dgray-800,顏色/背景/邊框,✓,✓,border-color:var(--color-dgray-800)
border-dgray-900,顏色/背景/邊框,✓,✓,border-color:var(--color-dgray-900)
border-duck-pink1,顏色/背景/邊框,✓,✓,border-color:var(--color-duck-pink1)
border-duck-pink2,顏色/背景/邊框,✓,✓,border-color:var(--color-duck-pink2)
border-error,顏色/背景/邊框,✓,✓,border-color:var(--color-error)
border-foreground,顏色/背景/邊框,✓,✓,border-color:var(--color-foreground)
border-gray-100,顏色/背景/邊框,✓,✓,border-color:var(--color-gray-100)
