class名稱,分類,聊天室,角色介面,樣式
5,定位,✓,✓,inset:calc(var(--spacing)*-.5) | top:calc(var(--spacing)*-.5) | top:calc(var(--spacing)*.5) | top:ca
align-bottom,定位,✓,✓,vertical-align:bottom
align-top,定位,✓,✓,vertical-align:top
backdrop-filter,定位,✓,✓,"-webkit-backdrop-filter:var(--tw-backdrop-blur,)var(--tw-backdrop-brightness,)var(--tw-backdrop-cont"
bg-center,定位,✓,✓,background-position:50%
bg-gradient-to-b,定位,✓,✓,--tw-gradient-position:to bottom in oklab
bg-gradient-to-br,定位,✓,✓,--tw-gradient-position:to bottom right in oklab
bg-gradient-to-l,定位,✓,✓,background-image:linear-gradient(var(--tw-gradient-stops)) | --tw-gradient-position:to left in oklab
bg-gradient-to-r,定位,✓,✓,--tw-gradient-position:to right in oklab
bg-gradient-to-t,定位,✓,✓,background-image:linear-gradient(var(--tw-gradient-stops)) | --tw-gradient-position:to top in oklab
bg-linear-to-t,定位,✓,✓,--tw-gradient-position:to top | --tw-gradient-position:to top in oklab | background-image:linear-gra
blur-lg,定位,✓,✓,"filter:var(--tw-blur,)var(--tw-brightness,)var(--tw-contrast,)var(--tw-grayscale,)var(--tw-hue-rotat"
blur-xl,定位,✓,✓,"filter:var(--tw-blur,)var(--tw-brightness,)var(--tw-contrast,)var(--tw-grayscale,)var(--tw-hue-rotat"
border-b,定位,✓,✓,border-bottom-style:var(--tw-border-style); border-bottom-width:1px
border-b-2,定位,✓,✓,border-bottom-style:var(--tw-border-style); border-bottom-width:2px
border-b-4,定位,✓,✓,border-bottom-style:var(--tw-border-style); border-bottom-width:4px
border-b-dgray-700,定位,✓,✓,border-bottom-color:var(--color-dgray-700)
border-l,定位,✓,✓,border-left-style:var(--tw-border-style); border-left-width:1px
border-l-0,定位,✓,✓,border-left-style:var(--tw-border-style); border-left-width:0
border-l-2,定位,✓,✓,border-left-style:var(--tw-border-style); border-left-width:2px
border-l-3,定位,✓,✓,border-left-style:var(--tw-border-style); border-left-width:3px
border-r,定位,✓,✓,border-right-style:var(--tw-border-style); border-right-width:1px
border-r-0,定位,✓,✓,border-right-style:var(--tw-border-style); border-right-width:0
border-t,定位,✓,✓,border-top-style:var(--tw-border-style); border-top-width:1px
border-t-0,定位,✓,✓,border-top-style:var(--tw-border-style); border-top-width:0
border-t-2,定位,✓,✓,border-top-style:var(--tw-border-style); border-top-width:2px
border-t-primary,定位,✓,✓,border-top-color:var(--color-primary)
bottom-0,定位,✓,✓,bottom:calc(var(--spacing)*0)
bottom-1,定位,✓,✓,bottom:calc(var(--spacing)*1)
bottom-10,定位,✓,✓,bottom:calc(var(--spacing)*10)
bottom-2,定位,✓,✓,bottom:calc(var(--spacing)*2)
bottom-3,定位,✓,✓,bottom:calc(var(--spacing)*3)
bottom-bar-gradient,定位,✓,✓,"background-image:linear-gradient(#26272700,#26272714 6%,#26272729 8%,#2627273d 10%,#26272752 11%,#26"
bottom-full,定位,✓,✓,bottom:100%
brightness-100,定位,✓,✓,--tw-brightness:brightness(100%)
brightness-50,定位,✓,✓,--tw-brightness:brightness(50%)
brightness-75,定位,✓,✓,"filter:var(--tw-blur,)var(--tw-brightness,)var(--tw-contrast,)var(--tw-grayscale,)var(--tw-hue-rotat"
character-card-overlay,定位,✓,✓,"z-index:10; pointer-events:none; background:linear-gradient(0deg,#000000cf,#000000ce 5% 10%,#000c 15"
drop-shadow-2xl,定位,✓,✓,"filter:var(--tw-blur,)var(--tw-brightness,)var(--tw-contrast,)var(--tw-grayscale,)var(--tw-hue-rotat"
drop-shadow-lg,定位,✓,✓,"filter:var(--tw-blur,)var(--tw-brightness,)var(--tw-contrast,)var(--tw-grayscale,)var(--tw-hue-rotat"
fixed,定位,✓,✓,position:fixed
from-background-700,定位,✓,✓,"--tw-gradient-from:var(--color-background-700); --tw-gradient-stops:var(--tw-gradient-via-stops,var("
from-black,定位,✓,✓,"--tw-gradient-from:var(--color-black); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-grad"
from-blue-500,定位,✓,✓,"--tw-gradient-from:var(--color-blue-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-g"
from-blue-800,定位,✓,✓,"--tw-gradient-from:var(--color-blue-800); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-g"
from-cyan-500,定位,✓,✓,"--tw-gradient-from:var(--color-cyan-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-g"
from-duck-pink2,定位,✓,✓,"--tw-gradient-from:var(--color-duck-pink2); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw"
from-gray-700,定位,✓,✓,"--tw-gradient-from:var(--color-gray-700); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-g"
from-green-500,定位,✓,✓,"--tw-gradient-from:var(--color-green-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-"
from-pink-300,定位,✓,✓,"--tw-gradient-from:var(--color-pink-300); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-g"
from-purple-500,定位,✓,✓,"--tw-gradient-from:var(--color-purple-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw"
from-red-500,定位,✓,✓,"--tw-gradient-from:var(--color-red-500); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gr"
from-red-800,定位,✓,✓,"--tw-gradient-from:var(--color-red-800); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gr"
from-rose-400,定位,✓,✓,"--tw-gradient-from:var(--color-rose-400); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-g"
from-transparent,定位,✓,✓,"--tw-gradient-from:transparent; --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw-gradient-po"
from-yellow-400,定位,✓,✓,"--tw-gradient-from:var(--color-yellow-400); --tw-gradient-stops:var(--tw-gradient-via-stops,var(--tw"
inset-0,定位,✓,✓,inset:calc(var(--spacing)*0)
inset-1,定位,✓,✓,inset:calc(var(--spacing)*1)
inset-3,定位,✓,✓,inset:calc(var(--spacing)*3)
inset-4,定位,✓,✓,inset:calc(var(--spacing)*4)
inset-6,定位,✓,✓,inset:calc(var(--spacing)*6)
left-0,定位,✓,✓,left:calc(var(--spacing)*0)
left-1,定位,✓,✓,left:calc(var(--spacing)*1)
left-2,定位,✓,✓,left:calc(var(--spacing)*2)
left-3,定位,✓,✓,left:calc(var(--spacing)*3)
left-4,定位,✓,✓,left:calc(var(--spacing)*4)
left-5,定位,✓,✓,left:calc(var(--spacing)*5)
left-8,定位,✓,✓,left:calc(var(--spacing)*8)
list-outside,定位,✓,✓,list-style-position:outside
mb-0,定位,✓,✓,margin-bottom:calc(var(--spacing)*0)
mb-1,定位,✓,✓,margin-bottom:calc(var(--spacing)*1)
mb-10,定位,✓,✓,margin-bottom:calc(var(--spacing)*10)
mb-12,定位,✓,✓,margin-bottom:calc(var(--spacing)*12)
mb-2,定位,✓,✓,margin-bottom:calc(var(--spacing)*2)
mb-20,定位,✓,✓,margin-bottom:calc(var(--spacing)*20)
mb-3,定位,✓,✓,margin-bottom:calc(var(--spacing)*3)
mb-4,定位,✓,✓,margin-bottom:calc(var(--spacing)*4)
mb-5,定位,✓,✓,margin-bottom:calc(var(--spacing)*5)
mb-6,定位,✓,✓,margin-bottom:calc(var(--spacing)*6)
mb-8,定位,✓,✓,margin-bottom:calc(var(--spacing)*8)
ml-0,定位,✓,✓,margin-left:calc(var(--spacing)*0)
ml-1,定位,✓,✓,margin-left:calc(var(--spacing)*1)
ml-2,定位,✓,✓,margin-left:calc(var(--spacing)*2)
ml-3,定位,✓,✓,margin-left:calc(var(--spacing)*3)
ml-6,定位,✓,✓,margin-left:calc(var(--spacing)*6)
ml-auto,定位,✓,✓,margin-left:auto
mr-1,定位,✓,✓,margin-right:calc(var(--spacing)*1)
mr-2,定位,✓,✓,margin-right:calc(var(--spacing)*2)
mr-3,定位,✓,✓,margin-right:calc(var(--spacing)*3)
mr-6,定位,✓,✓,margin-right:calc(var(--spacing)*6)
mr-auto,定位,✓,✓,margin-right:auto
mt-0,定位,✓,✓,margin-top:calc(var(--spacing)*0)
mt-1,定位,✓,✓,margin-top:calc(var(--spacing)*1)
mt-10,定位,✓,✓,margin-top:calc(var(--spacing)*10)
mt-14,定位,✓,✓,margin-top:calc(var(--spacing)*14)
mt-2,定位,✓,✓,margin-top:calc(var(--spacing)*2)
mt-20,定位,✓,✓,margin-top:calc(var(--spacing)*20)
mt-28,定位,✓,✓,margin-top:calc(var(--spacing)*28)
mt-3,定位,✓,✓,margin-top:calc(var(--spacing)*3)
mt-4,定位,✓,✓,margin-top:calc(var(--spacing)*4)
mt-5,定位,✓,✓,margin-top:calc(var(--spacing)*5)
mt-6,定位,✓,✓,margin-top:calc(var(--spacing)*6)
mt-7,定位,✓,✓,margin-top:calc(var(--spacing)*7)
mt-8,定位,✓,✓,margin-top:calc(var(--spacing)*8)
mt-auto,定位,✓,✓,margin-top:auto
object-center,定位,✓,✓,object-position:center
object-top,定位,✓,✓,object-position:top
origin-left,定位,✓,✓,transform-origin:0
