來源,變數名稱,值
10128161fe71f379.css, --color-amber-600,oklch(66.6% .179 58.318)
10128161fe71f379.css, --color-amber-800,oklch(47.3% .137 46.201)
10128161fe71f379.css, --color-amber-950,oklch(27.9% .077 45.635)
10128161fe71f379.css, --color-yellow-100,oklch(97.3% .071 103.193)
10128161fe71f379.css, --color-yellow-300,oklch(90.5% .182 98.111)
10128161fe71f379.css, --color-yellow-400,oklch(85.2% .199 91.936)
10128161fe71f379.css, --color-yellow-500,oklch(79.5% .184 86.047)
10128161fe71f379.css, --color-yellow-600,oklch(68.1% .162 75.834)
10128161fe71f379.css, --color-yellow-900,oklch(42.1% .095 57.708)
10128161fe71f379.css, --color-yellow-950,oklch(28.6% .066 53.813)
10128161fe71f379.css, --color-green-100,oklch(96.2% .044 156.743)
10128161fe71f379.css, --color-green-300,oklch(87.1% .15 154.449)
10128161fe71f379.css, --color-green-400,oklch(79.2% .209 151.711)
10128161fe71f379.css, --color-green-500,oklch(72.3% .219 149.579)
10128161fe71f379.css, --color-green-600,oklch(62.7% .194 149.214)
10128161fe71f379.css, --color-green-700,oklch(52.7% .154 150.069)
10128161fe71f379.css, --color-green-800,oklch(44.8% .119 151.328)
10128161fe71f379.css, --color-green-900,oklch(39.3% .095 152.535)
10128161fe71f379.css, --color-green-950,oklch(26.6% .065 152.934)
10128161fe71f379.css, --color-emerald-300,oklch(84.5% .143 164.978)
10128161fe71f379.css, --color-emerald-400,oklch(76.5% .177 163.223)
10128161fe71f379.css, --color-emerald-500,oklch(69.6% .17 162.48)
10128161fe71f379.css, --color-emerald-600,oklch(59.6% .145 163.225)
10128161fe71f379.css, --color-teal-400,oklch(77.7% .152 181.912)
10128161fe71f379.css, --color-teal-500,oklch(70.4% .14 182.503)
10128161fe71f379.css, --color-cyan-400,oklch(78.9% .154 211.53)
10128161fe71f379.css, --color-cyan-500,oklch(71.5% .143 215.221)
10128161fe71f379.css, --color-blue-100,oklch(93.2% .032 255.585)
10128161fe71f379.css, --color-blue-300,oklch(80.9% .105 251.813)
10128161fe71f379.css, --color-blue-400,oklch(70.7% .165 254.624)
10128161fe71f379.css, --color-blue-500,oklch(62.3% .214 259.815)
10128161fe71f379.css, --color-blue-600,oklch(54.6% .245 262.881)
10128161fe71f379.css, --color-blue-700,oklch(48.8% .243 264.376)
