class 名稱,分類,樣式（全部值）,使用範例
animate__repeat-3,控制（速度/次數）,-webkit-animation-iteration-count:calc(1 * 3); animation-iteration-count:calc(1 * 3); -webkit-animation-iteration-count:calc(var(--animate-repeat) * 3); animation-iteration-count:calc(var(--animate-repeat) * 3),"class=""animate__repeat-3"""
animate__slow,控制（速度/次數）,-webkit-animation-duration:calc(1s * 2); animation-duration:calc(1s * 2); -webkit-animation-duration:calc(var(--animate-duration) * 2); animation-duration:calc(var(--animate-duration) * 2),"class=""animate__slow"""
animate__slower,控制（速度/次數）,-webkit-animation-duration:calc(1s * 3); animation-duration:calc(1s * 3); -webkit-animation-duration:calc(var(--animate-duration) * 3); animation-duration:calc(var(--animate-duration) * 3),"class=""animate__slower"""
animate__rotateIn,旋轉 Rotate,-webkit-animation-name:rotateIn; animation-name:rotateIn; -webkit-transform-origin:center; transform-origin:center,"class=""animate__rotateIn"""
animate__rotateInDownLeft,旋轉 Rotate,-webkit-animation-name:rotateInDownLeft; animation-name:rotateInDownLeft; -webkit-transform-origin:left bottom; transform-origin:left bottom,"class=""animate__rotateInDownLeft"""
animate__rotateInDownRight,旋轉 Rotate,-webkit-animation-name:rotateInDownRight; animation-name:rotateInDownRight; -webkit-transform-origin:right bottom; transform-origin:right bottom,"class=""animate__rotateInDownRight"""
animate__rotateInUpLeft,旋轉 Rotate,-webkit-animation-name:rotateInUpLeft; animation-name:rotateInUpLeft; -webkit-transform-origin:left bottom; transform-origin:left bottom,"class=""animate__rotateInUpLeft"""
animate__rotateInUpRight,旋轉 Rotate,-webkit-animation-name:rotateInUpRight; animation-name:rotateInUpRight; -webkit-transform-origin:right bottom; transform-origin:right bottom,"class=""animate__rotateInUpRight"""
animate__rotateOut,旋轉 Rotate,-webkit-animation-name:rotateOut; animation-name:rotateOut; -webkit-transform-origin:center; transform-origin:center,"class=""animate__rotateOut"""
animate__rotateOutDownLeft,旋轉 Rotate,-webkit-animation-name:rotateOutDownLeft; animation-name:rotateOutDownLeft; -webkit-transform-origin:left bottom; transform-origin:left bottom,"class=""animate__rotateOutDownLeft"""
animate__rotateOutDownRight,旋轉 Rotate,-webkit-animation-name:rotateOutDownRight; animation-name:rotateOutDownRight; -webkit-transform-origin:right bottom; transform-origin:right bottom,"class=""animate__rotateOutDownRight"""
animate__rotateOutUpLeft,旋轉 Rotate,-webkit-animation-name:rotateOutUpLeft; animation-name:rotateOutUpLeft; -webkit-transform-origin:left bottom; transform-origin:left bottom,"class=""animate__rotateOutUpLeft"""
animate__rotateOutUpRight,旋轉 Rotate,-webkit-animation-name:rotateOutUpRight; animation-name:rotateOutUpRight; -webkit-transform-origin:right bottom; transform-origin:right bottom,"class=""animate__rotateOutUpRight"""
animate__headShake,注意力動畫 Attention,-webkit-animation-timing-function:ease-in-out; animation-timing-function:ease-in-out; -webkit-animation-name:headShake; animation-name:headShake,"class=""animate__headShake"""
animate__heartBeat,注意力動畫 Attention,-webkit-animation-name:heartBeat; animation-name:heartBeat; -webkit-animation-duration:calc(1s * 1.3); animation-duration:calc(1s * 1.3); -webkit-animation-duration:calc(var(--animate-duration) * 1.3); animation-duration:calc(var(--animate-duration) * 1.3); -webkit-animation-timing-function:ease-in-,"class=""animate__heartBeat"""
animate__jello,注意力動畫 Attention,-webkit-animation-name:jello; animation-name:jello; -webkit-transform-origin:center; transform-origin:center,"class=""animate__jello"""
animate__pulse,注意力動畫 Attention,-webkit-animation-name:pulse; animation-name:pulse; -webkit-animation-timing-function:ease-in-out; animation-timing-function:ease-in-out,"class=""animate__pulse"""
animate__rubberBand,注意力動畫 Attention,-webkit-animation-name:rubberBand; animation-name:rubberBand,"class=""animate__rubberBand"""
animate__shakeX,注意力動畫 Attention,-webkit-animation-name:shakeX; animation-name:shakeX,"class=""animate__shakeX"""
animate__shakeY,注意力動畫 Attention,-webkit-animation-name:shakeY; animation-name:shakeY,"class=""animate__shakeY"""
animate__swing,注意力動畫 Attention,-webkit-transform-origin:top center; transform-origin:top center; -webkit-animation-name:swing; animation-name:swing,"class=""animate__swing"""
animate__tada,注意力動畫 Attention,-webkit-animation-name:tada; animation-name:tada,"class=""animate__tada"""
animate__wobble,注意力動畫 Attention,-webkit-animation-name:wobble; animation-name:wobble,"class=""animate__wobble"""
animate__fadeIn,淡入淡出 Fade,-webkit-animation-name:fadeIn; animation-name:fadeIn,"class=""animate__fadeIn"""
animate__fadeInBottomLeft,淡入淡出 Fade,-webkit-animation-name:fadeInBottomLeft; animation-name:fadeInBottomLeft,"class=""animate__fadeInBottomLeft"""
animate__fadeInBottomRight,淡入淡出 Fade,-webkit-animation-name:fadeInBottomRight; animation-name:fadeInBottomRight,"class=""animate__fadeInBottomRight"""
animate__fadeInDown,淡入淡出 Fade,-webkit-animation-name:fadeInDown; animation-name:fadeInDown,"class=""animate__fadeInDown"""
animate__fadeInDownBig,淡入淡出 Fade,-webkit-animation-name:fadeInDownBig; animation-name:fadeInDownBig,"class=""animate__fadeInDownBig"""
animate__fadeInLeft,淡入淡出 Fade,-webkit-animation-name:fadeInLeft; animation-name:fadeInLeft,"class=""animate__fadeInLeft"""
animate__fadeInLeftBig,淡入淡出 Fade,-webkit-animation-name:fadeInLeftBig; animation-name:fadeInLeftBig,"class=""animate__fadeInLeftBig"""
animate__fadeInRight,淡入淡出 Fade,-webkit-animation-name:fadeInRight; animation-name:fadeInRight,"class=""animate__fadeInRight"""
animate__fadeInRightBig,淡入淡出 Fade,-webkit-animation-name:fadeInRightBig; animation-name:fadeInRightBig,"class=""animate__fadeInRightBig"""
