class名稱,分類,聊天室,角色介面,使用範例,樣式
animate__rotateOut,旋轉 Rotate,✓,✓,"class=""animate__rotateOut""",-webkit-animation-name:rotateOut; animation-name:rotateOut; -webkit-transform-or
animate__rotateOutDownLeft,旋轉 Rotate,✓,✓,"class=""animate__rotateOutDownLeft""",-webkit-animation-name:rotateOutDownLeft; animation-name:rotateOutDownLeft; -web
animate__rotateOutDownRight,旋轉 Rotate,✓,✓,"class=""animate__rotateOutDownRight""",-webkit-animation-name:rotateOutDownRight; animation-name:rotateOutDownRight; -w
animate__rotateOutUpLeft,旋轉 Rotate,✓,✓,"class=""animate__rotateOutUpLeft""",-webkit-animation-name:rotateOutUpLeft; animation-name:rotateOutUpLeft; -webkit-
animate__rotateOutUpRight,旋轉 Rotate,✓,✓,"class=""animate__rotateOutUpRight""",-webkit-animation-name:rotateOutUpRight; animation-name:rotateOutUpRight; -webki
animate__headShake,注意力動畫 Attention,✓,✓,"class=""animate__headShake""",-webkit-animation-timing-function:ease-in-out; animation-timing-function:ease-in
animate__heartBeat,注意力動畫 Attention,✓,✓,"class=""animate__heartBeat""",-webkit-animation-name:heartBeat; animation-name:heartBeat; -webkit-animation-du
animate__jello,注意力動畫 Attention,✓,✓,"class=""animate__jello""",-webkit-animation-name:jello; animation-name:jello; -webkit-transform-origin:cen
animate__pulse,注意力動畫 Attention,✓,✓,"class=""animate__pulse""",-webkit-animation-name:pulse; animation-name:pulse; -webkit-animation-timing-fun
animate__rubberBand,注意力動畫 Attention,✓,✓,"class=""animate__rubberBand""",-webkit-animation-name:rubberBand; animation-name:rubberBand
animate__shakeX,注意力動畫 Attention,✓,✓,"class=""animate__shakeX""",-webkit-animation-name:shakeX; animation-name:shakeX
animate__shakeY,注意力動畫 Attention,✓,✓,"class=""animate__shakeY""",-webkit-animation-name:shakeY; animation-name:shakeY
animate__swing,注意力動畫 Attention,✓,✓,"class=""animate__swing""",-webkit-transform-origin:top center; transform-origin:top center; -webkit-animat
animate__tada,注意力動畫 Attention,✓,✓,"class=""animate__tada""",-webkit-animation-name:tada; animation-name:tada
animate__wobble,注意力動畫 Attention,✓,✓,"class=""animate__wobble""",-webkit-animation-name:wobble; animation-name:wobble
animate__fadeIn,淡入淡出 Fade,✓,✓,"class=""animate__fadeIn""",-webkit-animation-name:fadeIn; animation-name:fadeIn
animate__fadeInBottomLeft,淡入淡出 Fade,✓,✓,"class=""animate__fadeInBottomLeft""",-webkit-animation-name:fadeInBottomLeft; animation-name:fadeInBottomLeft
animate__fadeInBottomRight,淡入淡出 Fade,✓,✓,"class=""animate__fadeInBottomRight""",-webkit-animation-name:fadeInBottomRight; animation-name:fadeInBottomRight
animate__fadeInDown,淡入淡出 Fade,✓,✓,"class=""animate__fadeInDown""",-webkit-animation-name:fadeInDown; animation-name:fadeInDown
animate__fadeInDownBig,淡入淡出 Fade,✓,✓,"class=""animate__fadeInDownBig""",-webkit-animation-name:fadeInDownBig; animation-name:fadeInDownBig
animate__fadeInLeft,淡入淡出 Fade,✓,✓,"class=""animate__fadeInLeft""",-webkit-animation-name:fadeInLeft; animation-name:fadeInLeft
animate__fadeInLeftBig,淡入淡出 Fade,✓,✓,"class=""animate__fadeInLeftBig""",-webkit-animation-name:fadeInLeftBig; animation-name:fadeInLeftBig
animate__fadeInRight,淡入淡出 Fade,✓,✓,"class=""animate__fadeInRight""",-webkit-animation-name:fadeInRight; animation-name:fadeInRight
